13384.0000000000 1986.6433949350 -0.1693245858122E-09 -0.9449184743019E-11 -0.1787737705552E-09  0.2816630848768E-10 [GCN   2  1 19860824     ]
13394.0000000000 1986.6707734428 -0.1709973364381E-09  0.3257029520264E-11 -0.1677403069178E-09  0.1964383958894E-10 [GCN   2  1 19860903     ]
13404.0000000000 1986.6981519507 -0.1727704919688E-09 -0.4529362180165E-10 -0.2180641137704E-09  0.2522846934102E-10 [GCN   2  1 19860913     ]
13414.0000000000 1986.7255304586 -0.1745722869498E-09 -0.1501960049388E-10 -0.1895918874437E-09  0.1666344058584E-10 [GCN   2  1 19860923     ]
13424.0000000000 1986.7529089665 -0.1763482607706E-09 -0.1923845388316E-09 -0.3687327996022E-09  0.1636909412788E-10 [GCN   2  1 19861003     ]
13434.0000000000 1986.7802874743 -0.1780636558529E-09 -0.2349686574698E-09 -0.4130323133227E-09  0.1307639982614E-10 [GCN   2  1 19861013     ]
13444.0000000000 1986.8076659822 -0.1797030105498E-09 -0.1513947536020E-09 -0.3310977641518E-09  0.1623039274405E-10 [GCN   2  1 19861023     ]
13454.0000000000 1986.8350444901 -0.1812671271524E-09 -0.1164683432009E-09 -0.2977354703533E-09  0.3179550171267E-10 [GCN   2  1 19861102     ]
13464.0000000000 1986.8624229979 -0.1827679141216E-09 -0.1454589600661E-09 -0.3282268741877E-09  0.1485079486331E-10 [GCN   2  1 19861112     ]
13474.0000000000 1986.8898015058 -0.1842218575671E-09 -0.8331481108374E-10 -0.2675366686509E-09  0.2323976873885E-10 [GCN   2  1 19861122     ]
13484.0000000000 1986.9171800137 -0.1856430398643E-09  0.2142562868582E-10 -0.1642174111785E-09  0.1990595195158E-10 [GCN   2  1 19861202     ]
13494.0000000000 1986.9445585216 -0.1870366739538E-09 -0.1832652071602E-09 -0.3703018811140E-09  0.1016722073044E-10 [GCN   2  1 19861212     ]
13504.0000000000 1986.9719370294 -0.1883940544422E-09 -0.1247314341281E-09 -0.3131254885703E-09  0.9903736734237E-11 [GCN   2  1 19861222     ]
13514.0000000000 1986.9993155373 -0.1896896492291E-09 -0.2336357996272E-09 -0.4233254488562E-09  0.1791534074970E-10 [GCN   2  1 19870101     ]
13524.0000000000 1987.0266940452 -0.1908807891752E-09 -0.1079492570072E-09 -0.2988300461824E-09  0.7448453883739E-11 [GCN   2  1 19870111     ]
13534.0000000000 1987.0540725530 -0.1919100899849E-09 -0.1288575159342E-09 -0.3207676059192E-09  0.1125400509038E-10 [GCN   2  1 19870121     ]
13544.0000000000 1987.0814510609 -0.1927103985006E-09 -0.8103872517881E-10 -0.2737491236794E-09  0.3070618935909E-10 [GCN   2  1 19870131     ]
13554.0000000000 1987.1088295688 -0.1932117357554E-09  0.1568534847870E-10 -0.1775263872767E-09  0.1374179537463E-10 [GCN   2  1 19870210     ]
13564.0000000000 1987.1362080767 -0.1933494496515E-09 -0.1234811706143E-09 -0.3168306202657E-09  0.1393207990965E-10 [GCN   2  1 19870220     ]
13574.0000000000 1987.1635865845 -0.1930726222056E-09 -0.4451111185947E-10 -0.2375837340650E-09  0.1723987027394E-10 [GCN   2  1 19870302     ]
13584.0000000000 1987.1909650924 -0.1923517204253E-09 -0.6910609547511E-10 -0.2614578159004E-09  0.2314027436566E-10 [GCN   2  1 19870312     ]
13594.0000000000 1987.2183436003 -0.1911845433581E-09 -0.4830923523461E-10 -0.2394937785927E-09  0.2826262320967E-10 [GCN   2  1 19870322     ]
13604.0000000000 1987.2457221081 -0.1895996940017E-09 -0.9675621241640E-11 -0.1992753152434E-09  0.3533340926870E-10 [GCN   2  1 19870401     ]
13614.0000000000 1987.2731006160 -0.1876570735993E-09 -0.3335577220993E-09 -0.5212147956986E-09  0.2932153430002E-10 [GCN   2  1 19870411     ]
13624.0000000000 1987.3004791239 -0.1854452264644E-09  0.1026026907062E-10 -0.1751849573938E-09  0.9123550015178E-11 [GCN   2  1 19870421     ]
13634.0000000000 1987.3278576318 -0.1830757176316E-09 -0.1068461089157E-09 -0.2899218265473E-09  0.1629141320150E-10 [GCN   2  1 19870501     ]
13644.0000000000 1987.3552361396 -0.1806750622108E-09 -0.1155318063546E-09 -0.2962068685654E-09  0.1934750187827E-10 [GCN   2  1 19870511     ]
13654.0000000000 1987.3826146475 -0.1783750051750E-09 -0.1624228927268E-09 -0.3407978979018E-09  0.3353502969142E-10 [GCN   2  1 19870521     ]
13664.0000000000 1987.4099931554 -0.1763021408059E-09 -0.1014335776956E-09 -0.2777357185015E-09  0.2039334854764E-10 [GCN   2  1 19870531     ]
13674.0000000000 1987.4373716632 -0.1745679399003E-09 -0.1007369189683E-09 -0.2753048588686E-09  0.2335101500463E-10 [GCN   2  1 19870610     ]
13684.0000000000 1987.4647501711 -0.1732602107986E-09 -0.3904971194640E-09 -0.5637573302627E-09  0.3239381367219E-10 [GCN   2  1 19870620     ]
13694.0000000000 1987.4921286790 -0.1724368620993E-09  0.4475159867662E-10 -0.1276852634226E-09  0.3158742570858E-10 [GCN   2  1 19870630     ]
13704.0000000000 1987.5195071869 -0.1721225788412E-09 -0.2176414085923E-10 -0.1938867197004E-09  0.4548118656148E-10 [GCN   2  1 19870710     ]
13714.0000000000 1987.5468856947 -0.1723086996042E-09 -0.3365008321174E-11 -0.1756737079254E-09  0.2337070967333E-10 [GCN   2  1 19870720     ]
13724.0000000000 1987.5742642026 -0.1729562269445E-09  0.1688385562815E-09 -0.4117670662986E-11  0.1790683103513E-10 [GCN   2  1 19870730     ]
13734.0000000000 1987.6016427105 -0.1740015589057E-09  0.3949139539103E-10 -0.1345101635147E-09  0.2884991336845E-10 [GCN   2  1 19870809     ]
13744.0000000000 1987.6290212183 -0.1753642347966E-09 -0.4170796104639E-10 -0.2170721958429E-09  0.6079611861611E-10 [GCN   2  1 19870819     ]
13754.0000000000 1987.6563997262 -0.1769557778384E-09  0.2352524578490E-10 -0.1534305320535E-09  0.2712783551174E-10 [GCN   2  1 19870829     ]
13764.0000000000 1987.6837782341 -0.1786886146185E-09  0.1209299030411E-09 -0.5775871157741E-10  0.1802071868098E-10 [GCN   2  1 19870908     ]
13774.0000000000 1987.7111567420 -0.1804840678081E-09  0.1871984856300E-09  0.6714417821894E-11  0.5986162017706E-10 [GCN   2  1 19870918     ]
13784.0000000000 1987.7385352498 -0.1822785516322E-09 -0.1400934584683E-09 -0.3223720101005E-09  0.3366932985577E-10 [GCN   2  1 19870928     ]
13794.0000000000 1987.7659137577 -0.1840273327762E-09  0.1021636989859E-10 -0.1738109628776E-09  0.6783668541017E-10 [GCN   2  1 19871008     ]
13804.0000000000 1987.7932922656 -0.1857055247544E-09  0.3679437958838E-09  0.1822382711294E-09  0.3188231787573E-10 [GCN   2  1 19871018     ]
13814.0000000000 1987.8206707734 -0.1873063248366E-09  0.2239412899072E-09  0.3663496507060E-10  0.1365203570944E-10 [GCN   2  1 19871028     ]
13824.0000000000 1987.8480492813 -0.1888368389107E-09  0.2073716890455E-09  0.1853485013482E-10  0.2170342986114E-10 [GCN   2  1 19871107     ]
13834.0000000000 1987.8754277892 -0.1903121313150E-09  0.1707875748242E-09 -0.1952455649077E-10  0.1219901111539E-10 [GCN   2  1 19871117     ]
13844.0000000000 1987.9028062971 -0.1917483492164E-09  0.1250121183534E-09 -0.6673623086305E-10  0.2358508889246E-10 [GCN   2  1 19871127     ]
13854.0000000000 1987.9301848049 -0.1931558794748E-09  0.1608738885434E-09 -0.3228199093146E-10  0.8326135129920E-11 [GCN   2  1 19871207     ]
13864.0000000000 1987.9575633128 -0.1945334874018E-09  0.1837403724522E-10 -0.1761594501565E-09  0.1383684298360E-10 [GCN   2  1 19871217     ]
13874.0000000000 1987.9849418207 -0.1958642625433E-09  0.1518606565839E-09 -0.4400360595940E-10  0.8744970680302E-11 [GCN   2  1 19871227     ]
13884.0000000000 1988.0123203285 -0.1971125957498E-09  0.4437012114316E-10 -0.1527424746066E-09  0.9956163608322E-11 [GCN   2  1 19880106     ]
13894.0000000000 1988.0396988364 -0.1982286512719E-09  0.2198870308737E-09  0.2165837960177E-10  0.1798124961251E-10 [GCN   2  1 19880116     ]
13904.0000000000 1988.0670773443 -0.1991514566569E-09 -0.8218544291406E-11 -0.2073700009483E-09  0.5967388840015E-11 [GCN   2  1 19880126     ]
13914.0000000000 1988.0944558522 -0.1998120602681E-09  0.1312342065759E-11 -0.1984997182023E-09  0.2412665846842E-11 [GCN   2  1 19880205     ]
13924.0000000000 1988.1218343600 -0.2001425981841E-09 -0.9687254617911E-10 -0.2970151443632E-09  0.6450727661453E-11 [GCN   2  1 19880215     ]
13934.0000000000 1988.1492128679 -0.2000845846312E-09 -0.9681878782212E-10 -0.2969033724534E-09  0.7831358774640E-11 [GCN   2  1 19880225     ]
13944.0000000000 1988.1765913758 -0.1995969646948E-09 -0.2338732097598E-09 -0.4334701744546E-09  0.4378787802894E-11 [GCN   2  1 19880306     ]
13954.0000000000 1988.2039698836 -0.1986629532749E-09 -0.9445305995348E-10 -0.2931160132284E-09  0.5356919790932E-11 [GCN   2  1 19880316     ]
13964.0000000000 1988.2313483915 -0.1972948018017E-09  0.7115855167853E-10 -0.1261362501232E-09  0.6957803514059E-11 [GCN   2  1 19880326     ]
13974.0000000000 1988.2587268994 -0.1955358537503E-09 -0.2053625031199E-09 -0.4008983568702E-09  0.7096538270196E-11 [GCN   2  1 19880405     ]
13984.0000000000 1988.2861054073 -0.1934595465409E-09 -0.1111556539549E-09 -0.3046152004958E-09  0.5370748890542E-11 [GCN   2  1 19880415     ]
13994.0000000000 1988.3134839151 -0.1911653569298E-09 -0.1730231551730E-09 -0.3641885121028E-09  0.5268446442142E-11 [GCN   2  1 19880425     ]
14004.0000000000 1988.3408624230 -0.1887720303731E-09 -0.2727844434688E-09 -0.4615564738420E-09  0.3047851075483E-10 [GCN   2  1 19880505     ]
14014.0000000000 1988.3682409309 -0.1864087423751E-09 -0.1609866985506E-09 -0.3473954409258E-09  0.7380201650360E-11 [GCN   2  1 19880515     ]
14024.0000000000 1988.3956194387 -0.1842050759077E-09 -0.2986200982863E-09 -0.4828251741940E-09  0.8672879475950E-11 [GCN   2  1 19880525     ]
14034.0000000000 1988.4229979466 -0.1822808362010E-09 -0.1155142497891E-09 -0.2977950859900E-09  0.1755074064140E-10 [GCN   2  1 19880604     ]
14044.0000000000 1988.4503764545 -0.1807367465727E-09 -0.2702847740671E-09 -0.4510215206398E-09  0.6793430400471E-11 [GCN   2  1 19880614     ]
14054.0000000000 1988.4777549624 -0.1796469737717E-09 -0.2211258513630E-09 -0.4007728251347E-09  0.5038253755139E-11 [GCN   2  1 19880624     ]
14064.0000000000 1988.5051334702 -0.1790542294482E-09 -0.2377448291395E-09 -0.4167990585877E-09  0.4534260854599E-11 [GCN   2  1 19880704     ]
14074.0000000000 1988.5325119781 -0.1789679090520E-09 -0.5095036844669E-09 -0.6884715935189E-09  0.7787848833472E-11 [GCN   2  1 19880714     ]
14084.0000000000 1988.5598904860 -0.1793653935434E-09 -0.2473034770614E-09 -0.4266688706048E-09  0.3772631271327E-11 [GCN   2  1 19880724     ]
14094.0000000000 1988.5872689938 -0.1801962914562E-09 -0.1567847754850E-09 -0.3369810669411E-09  0.3383206200929E-11 [GCN   2  1 19880803     ]
14104.0000000000 1988.6146475017 -0.1813890790419E-09 -0.1029530009169E-09 -0.2843420799588E-09  0.6026303286984E-11 [GCN   2  1 19880813     ]
14114.0000000000 1988.6420260096 -0.1828593411028E-09 -0.5501456018528E-10 -0.2378739012881E-09  0.3867246543761E-11 [GCN   2  1 19880823     ]
14124.0000000000 1988.6694045175 -0.1845186537329E-09  0.1056587136351E-10 -0.1739527823694E-09  0.3618182307699E-11 [GCN   2  1 19880902     ]
14134.0000000000 1988.6967830253 -0.1862831006241E-09  0.5979222416360E-10 -0.1264908764605E-09  0.6058346945428E-11 [GCN   2  1 19880912     ]
14144.0000000000 1988.7241615332 -0.1880804818993E-09 -0.5365919748219E-10 -0.2417396793815E-09  0.9810283312323E-11 [GCN   2  1 19880922     ]
