Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
1976;01;01;12:00:00;42778.500;-1.713106905857417e-07;-1.529679732470200e-07;3.312698750923660e-09;-7.562511865823540e-11;-3.786084130094700e-11;1.086858730287090e-13
1976;01;02;12:00:00;42779.500;-1.705519374229477e-07;-1.546488927007801e-07;3.326113154903257e-09;-7.666518736956230e-11;-3.899080516849270e-11;1.091489841820230e-13
1976;01;03;12:00:00;42780.500;-1.702135812680947e-07;-1.545134268554001e-07;3.358151573351858e-09;-7.777460382542689e-11;-4.009488587042920e-11;1.091743659758040e-13
1976;01;04;12:00:00;42781.500;-1.697988136865467e-07;-1.537480874507900e-07;3.393565626378059e-09;-7.896282828499410e-11;-4.127982172608110e-11;1.091369210623100e-13
1976;01;05;12:00:00;42782.500;-1.691197416856787e-07;-1.537658696379300e-07;3.427183088963358e-09;-8.014620734447289e-11;-4.258681725882130e-11;1.089785331606480e-13
1976;01;06;12:00:00;42783.500;-1.689958170249407e-07;-1.534495746878601e-07;3.452131364933258e-09;-8.132694472142230e-11;-4.372385079741220e-11;1.087707421261080e-13
1976;01;07;12:00:00;42784.500;-1.685636792047687e-07;-1.519649151365001e-07;3.464516937977759e-09;-8.249975936632151e-11;-4.464482663767290e-11;1.081956089407770e-13
1976;01;08;12:00:00;42785.500;-1.672991821433437e-07;-1.504367408780201e-07;3.474166540783058e-09;-8.358449513828130e-11;-4.545225493634050e-11;1.075469016090520e-13
1976;01;09;12:00:00;42786.500;-1.660067596607307e-07;-1.510655403385801e-07;3.482821729368157e-09;-8.455421336410140e-11;-4.613213492770700e-11;1.068965878494230e-13
1976;01;10;12:00:00;42787.500;-1.655257216640227e-07;-1.504087207236100e-07;3.490565486916359e-09;-8.548483242460360e-11;-4.665734463161980e-11;1.064349543314750e-13
1976;01;11;12:00:00;42788.500;-1.648984337272537e-07;-1.505737199894901e-07;3.496756284202857e-09;-8.627406916755929e-11;-4.703198712284300e-11;1.063513748761840e-13
1976;01;12;12:00:00;42789.500;-1.661059078790457e-07;-1.499702379028001e-07;3.499972006617457e-09;-8.686610950180620e-11;-4.720646248521940e-11;1.064042599403080e-13
1976;01;13;12:00:00;42790.500;-1.665353962768487e-07;-1.503668090075200e-07;3.515843019396859e-09;-8.743037984368550e-11;-4.726183066561710e-11;1.066090079875340e-13
1976;01;14;12:00:00;42791.500;-1.659936082502667e-07;-1.486231151482901e-07;3.529918451858159e-09;-8.810226469781691e-11;-4.739684169709700e-11;1.069972637474060e-13
1976;01;15;12:00:00;42792.500;-1.646173776308897e-07;-1.473499864340801e-07;3.539277698620458e-09;-8.869095177755520e-11;-4.752159187150670e-11;1.071917819126210e-13
1976;01;16;12:00:00;42793.500;-1.641452118613977e-07;-1.477332329412801e-07;3.541215332593357e-09;-8.932100804345420e-11;-4.768806451834440e-11;1.072093010649580e-13
1976;01;17;12:00:00;42794.500;-1.628476466006077e-07;-1.470103527635001e-07;3.536256011291060e-09;-8.990110637509251e-11;-4.775565718504590e-11;1.072596894292840e-13
1976;01;18;12:00:00;42795.500;-1.612456664370787e-07;-1.484667587396601e-07;3.527454358267559e-09;-9.048706048771520e-11;-4.773945125191850e-11;1.073701960148440e-13
1976;01;19;12:00:00;42796.500;-1.607296125470857e-07;-1.478153603893001e-07;3.522780202615757e-09;-9.110704087849899e-11;-4.772173771799740e-11;1.078212357328370e-13
1976;01;20;12:00:00;42797.500;-1.615744576376637e-07;-1.484449216317002e-07;3.516972797193359e-09;-9.169664912425640e-11;-4.768696774203990e-11;1.086714934270730e-13
1976;01;21;12:00:00;42798.500;-1.608145388243527e-07;-1.483795072985402e-07;3.523015441364860e-09;-9.241329227015530e-11;-4.778762940753240e-11;1.099217673640460e-13
