Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
1991;07;18;00:00:00;48455.00;1.44625987E+01;-9.10722193E+00;8.97604405E-03;-3.53330086E+01;-4.16247201E+00;-2.43929625E-03
1991;07;19;00:00:00;48456.00;-3.58565031E+00;-9.83071156E+00;3.64767375E-03;-1.43865230E+01;-3.51097803E-01;-1.30350150E-02
1991;07;20;00:00:00;48457.00;-9.60507382E+00;-6.99084806E+00;2.77377305E-03;-3.33163691E+00;-2.43310934E-01;-2.48881327E-02
1991;07;21;00:00:00;48458.00;-2.69129586E+00;4.67228413E+00;2.71388645E-03;5.15434380E+00;-4.60182044E+00;-2.52324591E-02
1991;07;22;00:00:00;48459.00;7.51583131E+00;2.32147840E+01;-7.59682516E-05;-2.81427320E+00;-6.83545686E+00;-1.40202107E-02
1991;07;23;00:00:00;48460.00;9.08752127E+00;3.12670517E+01;-4.69279895E-03;2.83744378E+00;-1.04174139E+00;1.60080308E-04
1991;07;24;00:00:00;48461.00;1.03975335E+01;2.03727382E+01;-1.31310670E-02;1.18782482E+00;-1.19667334E+01;-1.25179345E-02
1991;07;25;00:00:00;48462.00;4.94558992E+00;1.28833317E+01;-1.63780606E-02;-5.36796943E+00;-4.77667607E+00;-1.50989171E-02
1991;07;26;00:00:00;48463.00;6.66860256E+00;3.06523874E-01;-1.26717836E-02;-3.31639822E+00;8.43093456E-01;-9.24990752E-03
1991;07;27;00:00:00;48464.00;6.02551346E+00;-1.60556042E+01;-2.33689805E-03;-7.62519692E+00;-4.24617193E+00;-3.11600173E-03
1991;07;28;00:00:00;48465.00;5.41441501E+00;-2.39558956E+01;2.72236954E-04;-2.97638529E+00;-1.03251993E+01;1.09838648E-03
1991;07;29;00:00:00;48466.00;7.91611671E+00;-2.63621926E+01;7.19064985E-03;-2.79767309E+00;-1.45781964E+01;9.51086258E-03
1991;07;30;00:00:00;48467.00;1.07994376E+01;-2.27414473E+01;5.88505955E-03;-9.17989119E+00;-9.99816547E+00;1.03073706E-02
1991;07;31;00:00:00;48468.00;1.50819893E+01;-2.46579163E+01;4.32637605E-03;-1.32927850E+01;-4.59151596E+00;1.61196106E-03
1991;08;01;00:00:00;48469.00;1.22721876E+01;-4.07367774E+01;-2.67750735E-03;-2.10181974E+01;-2.22083908E+01;-6.05842762E-03
1991;08;02;00:00:00;48470.00;2.72838672E+00;-4.04894697E+01;-5.08114675E-03;-6.60667250E+00;-2.03465770E+01;-1.46916511E-02
1991;08;03;00:00:00;48471.00;-1.00564070E+01;-3.14527740E+01;-1.75776985E-03;1.17237819E+01;-1.25810412E+01;-1.06370356E-02
1991;08;04;00:00:00;48472.00;-2.21679844E+01;-1.80237272E+01;-2.79531095E-03;1.04747317E+01;-5.00674933E+00;-9.23391308E-03
1991;08;05;00:00:00;48473.00;-1.64799186E+01;-7.85114887E+00;-3.58159715E-03;4.84776078E+00;4.81198809E+00;1.37466420E-03
1991;08;06;00:00:00;48474.00;-1.15135264E+01;-1.19391259E+01;-1.20104614E-02;-1.93392534E+00;3.34947680E+00;-1.00308294E-02
1991;08;07;00:00:00;48475.00;-1.08212119E+01;-1.35385157E+01;-1.34085757E-02;4.48082580E+00;4.93625570E+00;-1.97567099E-02
1991;08;08;00:00:00;48476.00;-6.65916325E+00;-8.60956151E+00;-4.40447745E-03;-1.62171305E+00;-2.58902514E+00;-1.41303836E-02
1991;08;09;00:00:00;48477.00;-3.48112373E-01;-7.50255373E+00;1.71314843E-02;-1.63129775E+00;-9.11514138E+00;1.09499928E-02
1991;08;10;00:00:00;48478.00;6.88736911E+00;-9.07935206E+00;1.81837163E-02;-8.36125835E+00;-6.73268726E+00;1.70173304E-02
1991;08;11;00:00:00;48479.00;3.46360184E+00;-7.59381791E+00;1.85788174E-02;1.56474437E+00;-3.35218175E+00;1.11194511E-02
1991;08;12;00:00:00;48480.00;3.79874537E+00;-1.56203413E+00;1.83271627E-02;-2.03380342E+00;2.41221148E+00;4.03313972E-03
1991;08;13;00:00:00;48481.00;4.00753128E+00;-1.29543305E+00;1.56258132E-02;-1.39340264E+00;4.42338212E+00;1.63900361E-02
1991;08;14;00:00:00;48482.00;-1.27791940E+00;-1.16790460E+01;1.37410980E-02;-6.91815480E+00;9.12209544E-01;2.55681044E-02
1991;08;15;00:00:00;48483.00;-6.83472959E+00;-1.20367399E+01;1.42823773E-02;-5.59265693E+00;3.04938014E+00;2.61854353E-02
1991;08;16;00:00:00;48484.00;-1.29931951E+00;-1.13591800E+01;2.12000296E-02;-1.12910888E+01;-1.11743178E+01;1.70064667E-02
1991;08;17;00:00:00;48485.00;4.90573548E+00;-1.71948608E+01;1.86051078E-02;-1.53350182E+01;-2.88841246E+01;1.63120428E-03
1991;08;18;00:00:00;48486.00;-4.98228261E+00;-1.60899698E+01;9.87704485E-03;-5.22553532E+00;-2.16411922E+01;-3.37781515E-03
1991;08;19;00:00:00;48487.00;-1.47926219E+01;-1.76248270E+01;8.23213285E-03;6.80128314E+00;-1.59122128E+01;-1.60060856E-03
1991;08;20;00:00:00;48488.00;-1.50483470E+01;-1.73545867E+01;8.13832005E-03;-3.03387589E+00;-1.07223054E+01;1.64127622E-03
1991;08;21;00:00:00;48489.00;-1.20189484E+01;-2.04184297E+01;1.01201932E-02;7.55724825E+00;-3.82046917E+00;1.34910649E-02
1991;08;22;00:00:00;48490.00;-1.85811640E+01;-1.57405450E+01;6.20236045E-03;-7.30693697E-01;-3.25375532E+00;1.37594177E-02
1991;08;23;00:00:00;48491.00;-9.13820077E+00;-7.77903878E+00;6.95954995E-03;-3.24911866E+00;-2.38081053E+00;1.81861129E-02
1991;08;24;00:00:00;48492.00;-4.87516637E+00;1.05645183E+00;1.38343882E-02;-1.29114080E+01;-5.86387784E+00;1.84008318E-02
1991;08;25;00:00:00;48493.00;-2.46110190E+00;5.79400048E+00;1.62736304E-02;-7.92441850E-01;7.01328271E+00;2.21509323E-02
1991;08;26;00:00:00;48494.00;1.05450525E+01;3.48568214E-01;1.49959379E-02;2.89758124E+00;-5.43880403E+00;1.82091484E-02
1991;08;27;00:00:00;48495.00;1.44430107E+01;-1.98929396E+00;1.54950710E-02;3.89154652E+00;3.28713122E+00;1.53407683E-02
1991;08;28;00:00:00;48496.00;2.14703453E+01;-1.20885401E+01;1.59276933E-02;9.38548064E+00;5.49402084E+00;1.24933732E-02
1991;08;29;00:00:00;48497.00;1.56822774E+01;-1.47649143E+01;1.34138175E-02;-1.80879688E+00;-1.34506514E+01;8.36858354E-03
1991;08;30;00:00:00;48498.00;6.85538500E+00;-1.59113691E+01;1.24156653E-02;-6.65256861E+00;-1.75299948E+01;9.15003220E-03
1991;08;31;00:00:00;48499.00;-2.74698900E+00;-1.71542353E+01;4.02637645E-03;-7.31396057E+00;-1.35121954E+01;7.60268518E-03
1991;09;01;00:00:00;48500.00;-8.33865749E+00;-2.39290372E+00;8.72680615E-03;1.19717594E+01;-8.98825314E+00;2.24631853E-02
1991;09;02;00:00:00;48501.00;-2.61916620E+00;1.10282181E+01;1.20249759E-02;3.09077019E+00;1.63310688E+00;3.12243120E-02
1991;09;03;00:00:00;48502.00;1.03992623E+00;7.24962096E+00;1.07125733E-02;3.81347682E+00;1.30915807E+01;3.24594685E-02
1991;09;04;00:00:00;48503.00;6.16994469E+00;-5.08602985E+00;1.76267255E-02;3.23055755E-01;3.68064175E+00;2.41434329E-02
1991;09;05;00:00:00;48504.00;7.31608640E+00;-1.44493305E+01;2.20333718E-02;-2.03535568E+00;-4.86106605E+00;1.39183759E-02
1991;09;06;00:00:00;48505.00;8.45780897E+00;-2.08694197E+01;2.37408476E-02;-7.31143132E+00;-1.72180759E+01;1.16951702E-02
1991;09;07;00:00:00;48506.00;3.23646800E+00;-1.98484334E+01;1.93623216E-02;-2.68674129E+00;-9.58632067E+00;1.76116752E-02
1991;09;08;00:00:00;48507.00;5.10931013E+00;-1.96613881E+01;1.52640927E-02;-4.06700336E+00;-1.66567212E+01;1.34250211E-02
1991;09;09;00:00:00;48508.00;4.43034765E+00;-1.09676409E+01;2.48633467E-02;-8.93591951E+00;-1.01654158E+01;1.67980390E-02
1991;09;10;00:00:00;48509.00;7.76869429E+00;-3.05701941E+00;1.96034074E-02;-1.39010442E+00;-7.01484178E+00;1.89636216E-02
1991;09;11;00:00:00;48510.00;4.62865979E+00;6.98513593E+00;1.26408046E-02;-8.40510769E+00;-1.32714777E+01;2.08713186E-02
1991;09;12;00:00:00;48511.00;5.00566384E+00;1.16698452E+01;1.08335195E-02;-7.46651528E+00;-8.14103907E+00;2.14646911E-02
1991;09;13;00:00:00;48512.00;1.05916733E+01;9.07659598E+00;1.49652438E-02;-3.18441669E+00;-5.21515031E+00;2.34060133E-02
1991;09;14;00:00:00;48513.00;1.24393466E+01;1.03564298E+01;2.30171829E-02;1.04806095E+01;6.09500247E+00;2.55570995E-02
1991;09;15;00:00:00;48514.00;1.70322924E+01;2.03698532E+00;2.71508946E-02;1.35831821E+01;-8.59397701E+00;1.99852609E-02
1991;09;16;00:00:00;48515.00;3.83035610E+00;4.80958089E+00;2.65793104E-02;1.66804389E+01;-5.88497709E-01;2.30257716E-02
1991;09;17;00:00:00;48516.00;5.47762307E+00;1.19745826E+01;1.87145549E-02;1.28644313E+01;4.20393199E+00;2.91153484E-02
