Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
1980;02;07;00:00:00;44276.00;-3.99877762E+00;5.69514974E-01;-9.54028885E-03;9.03437860E-02;-8.18095715E+00;1.38785720E-02
1980;02;08;00:00:00;44277.00;-2.67164869E+00;-2.76975166E+00;-1.31777988E-02;3.73517121E+00;-7.01587438E+00;3.44293174E-03
1980;02;09;00:00:00;44278.00;-8.56342305E+00;-7.71036886E-01;-2.11199453E-02;2.92645968E-01;-8.16131148E+00;-7.26811132E-03
1980;02;10;00:00:00;44279.00;-7.14855408E+00;5.84591434E-01;-2.07139354E-02;3.95184186E+00;-1.48655771E+00;-1.02481780E-03
1980;02;11;00:00:00;44280.00;-8.40985862E+00;-7.44431677E+00;-1.83473533E-02;-2.43020561E-01;-3.32266180E+00;1.02492972E-02
1980;02;12;00:00:00;44281.00;-2.62138191E+01;-1.17680828E+01;-2.26638223E-02;-5.37313572E+00;-1.44428242E+00;3.02772555E-03
1980;02;13;00:00:00;44282.00;-2.31291744E+01;-1.78292116E+01;-2.50617043E-02;-7.10482650E+00;3.44878994E+00;4.62102492E-03
1980;02;14;00:00:00;44283.00;-2.23766493E+01;-1.65262345E+01;-1.61705377E-02;-1.10853114E+01;-9.95737392E+00;2.22282399E-02
1980;02;15;00:00:00;44284.00;-1.54121457E+01;-9.43676266E+00;-7.70288425E-03;-7.24665018E+00;7.28796786E-01;3.43397238E-02
1980;02;16;00:00:00;44285.00;-9.76753821E+00;5.70887571E+00;-2.68285565E-03;-9.35301964E+00;-3.03708398E+00;2.21574624E-02
1980;02;17;00:00:00;44286.00;-8.16473659E+00;8.96810024E+00;-1.23770545E-03;-6.89523657E+00;-5.74702046E+00;1.67958710E-02
1980;02;18;00:00:00;44287.00;-6.83234839E+00;9.95169128E+00;-2.00098775E-03;-7.09870922E+00;-1.08843905E+01;1.31542032E-02
1980;02;19;00:00:00;44288.00;-1.60373555E+01;7.44920673E+00;4.92152795E-03;2.20626463E+00;-3.04756240E+00;1.94935698E-02
1980;02;20;00:00:00;44289.00;-1.78474590E+01;4.68547784E+00;6.91075547E-05;7.93481063E+00;-1.90541779E+00;7.88680878E-03
1980;02;21;00:00:00;44290.00;-2.15991860E+01;9.69129972E+00;-9.41527685E-03;6.62401115E+00;-1.91823920E+00;8.10366929E-03
1980;02;22;00:00:00;44291.00;-1.98996074E+01;1.68089906E+01;-4.07143575E-03;5.05319103E+00;3.55614088E+00;1.43236049E-02
1980;02;23;00:00:00;44292.00;-1.30664176E+01;1.73143739E+01;-3.54302215E-03;1.84199200E+00;-1.61533065E+00;1.89247584E-02
1980;02;24;00:00:00;44293.00;-1.41200708E+01;1.64576128E+01;-1.35639048E-02;-1.16261252E+01;-6.05543981E+00;1.04202723E-02
1980;02;25;00:00:00;44294.00;-9.50670536E+00;1.52222742E+01;-1.50135873E-02;-7.61071245E+00;3.22710991E+00;1.70928038E-02
1980;02;26;00:00:00;44295.00;-4.68304921E+00;1.05375982E+01;-1.09239045E-02;-7.60631728E+00;-5.09963783E+00;2.40526062E-02
1980;02;27;00:00:00;44296.00;-8.74681240E+00;8.82528047E+00;-9.06253365E-03;-5.54071414E+00;-4.53329837E-01;1.57752656E-02
1980;02;28;00:00:00;44297.00;-1.15042474E+01;2.17520204E+00;-1.21619295E-02;-3.49709635E+00;-9.74883457E+00;4.33062694E-03
1980;02;29;00:00:00;44298.00;-1.33863820E+01;4.10432673E+00;-1.34989725E-02;-5.68962537E+00;-2.18468463E+00;-2.83757783E-03
1980;03;01;00:00:00;44299.00;-1.29879561E+01;4.00696799E+00;-1.71365769E-02;6.14076759E+00;-1.72912366E+00;3.97924552E-05
1980;03;02;00:00:00;44300.00;-5.04312987E+00;-1.80758267E+00;-2.22270547E-02;1.05500150E+00;-7.11660832E+00;-3.47677427E-03
1980;03;03;00:00:00;44301.00;-6.70407954E+00;-2.00973055E+00;-1.96075133E-02;-3.95439967E+00;-6.00211213E+00;5.13005927E-03
1980;03;04;00:00:00;44302.00;-1.47177333E+01;3.00400734E+00;-1.64667734E-02;-4.98475081E+00;-4.99126517E+00;6.72746352E-03
1980;03;05;00:00:00;44303.00;-1.37778536E+01;2.54216040E+00;-1.30904648E-02;1.52065915E+00;6.36119180E+00;1.76964031E-03
1980;03;06;00:00:00;44304.00;-9.06413602E+00;-4.04295658E+00;-3.39032195E-03;2.32439802E+00;3.39033990E+00;1.49717838E-03
1980;03;07;00:00:00;44305.00;-5.26513139E+00;7.56829364E-01;3.68462705E-03;6.73938099E-01;5.85706095E+00;6.69662048E-03
1980;03;08;00:00:00;44306.00;-2.61764109E+00;9.60889191E+00;6.97691295E-03;5.11089986E+00;5.40071176E+00;8.86162440E-03
1980;03;09;00:00:00;44307.00;-1.43476933E+00;1.33967858E+01;7.71956249E-04;-2.57057125E+00;4.49795448E+00;3.28661831E-04
1980;03;10;00:00:00;44308.00;1.17942450E+01;1.39899886E+01;-8.00756055E-03;-1.33281661E+00;-3.97770945E+00;-1.26191709E-02
1980;03;11;00:00:00;44309.00;1.80165914E+01;1.07442223E+01;-9.09496385E-03;-8.85567212E+00;-5.93485093E+00;-1.37874846E-02
1980;03;12;00:00:00;44310.00;1.06125973E+01;2.84699160E+00;-6.78867165E-03;-2.00019094E+00;-2.34569129E+00;-7.71660520E-03
1980;03;13;00:00:00;44311.00;3.66625048E+00;-2.09181192E+00;-2.50281145E-03;1.26419267E+01;2.53226545E+00;9.71415292E-03
1980;03;14;00:00:00;44312.00;1.21991877E+00;-6.19016356E-01;3.53251745E-03;1.21263895E+01;-2.38653250E+00;2.02696102E-02
1980;03;15;00:00:00;44313.00;-4.70875740E+00;-2.63453042E+00;1.84342235E-03;7.58082155E-01;6.00277454E+00;1.59671495E-02
1980;03;16;00:00:00;44314.00;-7.69027417E+00;-9.26918499E+00;4.06781515E-03;7.75320953E+00;-5.62052598E+00;1.76628689E-02
1980;03;17;00:00:00;44315.00;-1.16297900E+01;-7.34366707E+00;-3.85615749E-04;6.39161765E+00;-5.54148186E+00;1.00744375E-02
1980;03;18;00:00:00;44316.00;-6.08684243E-01;-9.83731327E+00;3.33240154E-04;1.18801236E+01;-2.08756667E+00;-7.24316982E-04
1980;03;19;00:00:00;44317.00;5.47992392E+00;-9.85770320E+00;2.27005885E-03;4.86701586E+00;3.80334056E-01;1.20411056E-03
1980;03;20;00:00:00;44318.00;5.20838508E+00;-2.75371897E+00;2.58058848E-04;7.61424691E+00;1.17357001E+00;1.22842636E-02
1980;03;21;00:00:00;44319.00;1.06524655E+01;-9.66434496E-01;3.32820995E-03;3.78839321E+00;2.92953992E+00;1.10909791E-02
1980;03;22;00:00:00;44320.00;7.91334214E+00;-4.80073227E+00;1.00639026E-02;8.57528133E+00;6.35640955E+00;1.54935786E-02
1980;03;23;00:00:00;44321.00;1.49561438E+00;-7.00283883E+00;1.08918633E-02;9.69567370E+00;8.17993394E+00;1.45239846E-02
